Year,Budget,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
2017.0,12723976.07,140110.0,17540.0,68185.0,273950.0,293588.0,165726.0
2018.0,27539557.48,273274.68,138725.58,122159.67,61858.18,408950.96,165726.0
2024.0,9845122.86,267909.36,68196.0,168247.04,74635.5,140117.06,251111.25
2024.0,9845122.86,14757.0,31756.0,44899.0,28806.0,120000.0,40246.0
2024.0,9845122.86,267909.36,68196.0,168247.04,74635.5,140117.06,251111.25
2024.0,9845122.86,14757.0,31756.0,44899.0,28806.0,120000.0,40246.0
2024.0,9845122.86,267909.36,68196.0,168247.04,74635.5,140117.06,251111.25
2024.0,9845122.86,14757.0,31756.0,44899.0,28806.0,120000.0,40246.0
2024.0,9845122.86,267909.36,68196.0,168247.04,74635.5,140117.06,251111.25
2024.0,9845122.86,14757.0,31756.0,44899.0,28806.0,120000.0,40246.0
2018.0,42652727.59,162500.0,375000.0,400000.0,145335.0,366203.0,1437500.0
2017.0,12976092.09,63995.02,88565.02,32835.35,148652.19,84030.63,43110.52
2017.0,2692467.18,2679.86,26152.88,9395.66,0.0,152397.0,19243.35
2018.0,9581051.78,110700.0,77490.0,80471.49,86100.0,88400.0,86715.0
2018.0,3373734.87,6825.0,21172.74,17786.02,8527.31,98832.56,41358.19
2024.0,24603184.34,6825.0,98371.88,45441.38,207550.88,181293.0,102401.25
2023.0,22565635.92,155898.0,123606.0,105777.0,86940.0,111132.0,159390.0
2024.0,6732123.1,11942.34,58963.32,20954.18,122001.75,54284.49,37423.09
2024.0,5967992.82,16804.56,21870.83,34200.67,122216.6,14124.6,101965.98
2024.0,24782396.29,23057.76,128368.56,200748.32,213817.91,408881.37,496376.76
2024.0,5456718.16,47600.0,32725.0,47600.0,65450.0,33320.0,178500.0
2024.0,62332762.35,343569.74,140384.9,154772.16,95905.29,292484.98,388899.05
2024.0,62172175.91,328682.0,132846.0,147069.0,92082.0,284549.0,374971.0
2024.0,38605670.21,66490.2,274251.6,161912.84,106630.65,156010.37,163779.84
2024.0,5853469.15,66490.2,274251.6,161912.84,106630.65,156010.37,163779.84
2024.0,47846905.84,93227.27,210646.62,156072.14,149932.88,504113.27,173728.61
2024.0,39394161.38,977812.5,1092000.0,860606.25,1289400.0,1201725.0,952087.5
2024.0,35733936.48,310464.0,398160.0,163800.0,115920.0,165060.0,1045800.0
2023.0,16377168.67,59187.95,128109.95,72126.66,49485.85,156178.1,135607.98
2023.0,4992477.72,5258.57,5258.57,5258.57,438.21,5258.57,5258.57
2023.0,17939932.19,58716.0,65016.0,46116.0,46116.0,58716.0,109116.0
2023.0,17939815.37,58716.0,63000.0,46116.0,46116.0,58716.0,109116.0
2023.0,18426577.63,49371.02,74825.77,47397.0,39711.0,204960.0,85827.0
2020.0,14296869.78,310464.0,398160.0,163800.0,115920.0,165060.0,1045800.0
2020.0,12681800.48,33038.99,71499.57,46562.97,29258.15,234209.62,78676.59
2018.0,3868683.94,16503.46,31653.53,17452.34,20215.3,56418.96,70685.82
2018.0,3660269.09,7428.75,33258.75,24240.56,18654.06,0.0,45237.94
2017.0,16092682.98,8895.88,25926.4,13901.52,40825.41,8728.63,30132.81
2017.0,11765881.04,2360.4,64527.12,33308.1,160102.39,102677.4,65722.86
2017.0,11761387.11,3654.0,71579.91,13901.52,45697.41,70066.38,49412.31
2017.0,11996863.21,28612.64,89340.16,31222.8,27092.8,72291.52,62115.2
2019.0,10862688.3,64153.91,70575.12,61787.61,29733.23,162414.49,73002.64
2020.0,46481067.07,160125.0,487715.13,164570.07,426239.94,621182.52,604785.72
2018.0,14804621.77,75936.0,63280.0,25312.0,35436.8,107576.0,161996.8
2024.0,4924058.92,6854.86,41433.0,19425.66,18712.64,74466.0,33371.63
2018.0,30144572.16,240000.0,200000.0,100000.0,140000.0,200000.0,150000.0
2023.0,9184048.94,25000.0,24381.0,26100.9,75000.0,105000.0,32635.26
2024.0,23686235.62,267985.91,134370.71,219954.53,31774.75,140157.1,554301.31
2024.0,14915000.0,60000.0,410000.0,101000.0,75000.0,130000.0,200000.0
2024.0,39202994.03,181972.88,839431.69,235187.66,249839.78,414864.32,493743.47
2024.0,21233360.79,64632.62,60763.06,274115.79,292849.14,271838.72,253652.56
2024.0,9671400.0,40356.0,40021.0,31254.0,61213.0,94215.0,100258.0
2024.0,24128750.0,63813.0,71919.0,122306.0,0.0,0.0,342189.0
2023.0,10629229.8,16949.9,118362.89,51727.17,61049.98,102950.14,101101.39
2023.0,11442537.6,63606.29,40343.11,48983.81,123612.11,299301.17,280899.06
2018.0,8451679.65,28795.87,51347.01,41092.82,113206.09,218131.83,183218.33
2018.0,34993788.33,430496.95,179647.9,105466.95,108152.41,921177.72,352665.21
2024.0,13979500.0,75000.0,125000.0,250000.0,250000.0,275000.0,175000.0
2024.0,5949900.0,16511.04,21720.66,36467.76,11783.52,15358.56,101230.08
2024.0,5961565.59,16840.41,22280.84,34525.45,0.0,0.0,102575.09
2024.0,5948888.0,16786.0,21850.0,35153.0,15306.0,15337.0,100135.0
2024.0,9746839.41,36474.0,0.0,52587.29,0.0,244303.04,91085.13
2024.0,39378915.66,472270.77,325276.3,347149.13,97572.44,455598.22,280633.99
2023.0,19199166.94,120483.09,47552.4,69071.56,29872.06,119681.79,123644.43
2023.0,29466330.56,89903.08,290084.13,184244.13,176060.72,324419.13,254274.39
2023.0,14848582.15,37800.0,88200.0,44100.0,75600.0,107100.0,182700.0
2023.0,18407495.54,106214.92,67105.9,65330.24,63800.51,266063.45,166184.51
2023.0,11370123.47,25026.99,55879.19,35324.18,44210.73,151622.26,55858.71
2021.0,5543607.28,0.0,61363.26,79492.32,68923.26,145493.03,151269.99
2021.0,4010862.85,314080.58,117615.96,117499.59,66187.8,338380.25,204105.51
2020.0,11.842,45000.0,80000.0,43000.0,65044.47,106000.0,125000.0
2020.0,52921088.86,126497.89,250699.3,200831.47,284726.55,550572.22,358055.48
2020.0,46778280.56,133292.25,281449.35,480870.0,386608.95,622296.68,811977.08
2024.0,38606000.0,252159.01,259437.09,495310.73,289309.62,299166.84,817641.15
2024.0,15435664.91,109800.0,183000.0,91500.0,42700.0,61000.0,244000.0
2024.0,28962172.55,210577.73,250959.21,257196.28,136339.28,152848.29,403740.23
2024.0,14859476.05,41444.01,106135.63,39531.77,93413.77,157249.11,354306.58
2024.0,15500399.65,91079.1,114809.63,125153.69,121502.85,141986.04,140429.63
2024.0,5850335.9,38000.0,82000.0,73700.0,22910.14,14740.55,47300.0
2024.0,18740697.35,14757.63,67622.95,61782.63,39505.81,155534.25,84253.5
2024.0,10979055.79,19282.91,49989.06,175665.76,100599.58,182096.88,244664.01
2024.0,39696137.55,211638.95,204027.66,128459.06,247144.5,384609.61,309351.25
2024.0,39759647.0,243000.0,690000.0,230000.0,140000.0,370000.0,456000.0
2024.0,14604194.55,68142.0,73405.0,393316.62,165602.0,529954.0,314594.0
2024.0,15514088.25,217209.98,363846.6,226285.8,305929.0,467519.0,370693.7
2024.0,15514440.95,107817.23,261527.92,106259.43,90235.52,105878.07,142605.74
2024.0,9611535.48,91657.0,98020.44,142612.0,0.0,252096.0,277548.0
2024.0,9651558.77,28843.82,44506.0,34454.95,0.0,41947.5,36336.65
2024.0,9687517.65,18494.04,58865.63,41888.44,0.0,52893.75,83094.38
2024.0,9718956.84,13743.3,108171.3,28914.0,0.0,228140.0,100119.3
2024.0,9930171.7,14579.82,113903.64,28507.36,0.0,223903.92,91433.64
2024.0,4915295.55,9700.0,36875.0,30000.0,31400.0,73500.0,49200.0
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4948168.58,27048.0,27048.0,18032.0,27048.0,36064.0,36064.0
2024.0,4947465.01,27048.0,27048.0,18032.0,27048.0,36064.0,36064.0
2024.0,4960678.36,46827.2,37968.0,33750.0,53788.0,46827.2,54735.0
2024.0,4949269.88,27048.0,27048.0,18032.0,27048.0,36064.0,36064.0
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4925053.59,30127.61,44973.09,37056.77,19763.91,22537.96,70905.24
2024.0,4942656.33,9700.0,36062.33,30000.0,30725.0,82000.0,54100.0
2023.0,24959293.13,81784.08,88080.3,87651.21,66070.56,240623.33,159960.47
2023.0,29456364.98,106245.72,287628.63,150227.49,180301.68,312923.79,247564.79
2023.0,9728874.27,18380.65,65363.05,43249.94,66658.64,152190.98,52408.41
2023.0,9809368.69,18783.88,66753.29,52804.37,67631.09,145408.52,46635.77
2024.0,15600784.32,203826.78,85794.33,68065.68,141397.76,256809.66,131613.89
2024.0,21200658.33,83731.2,125529.6,76473.6,109670.4,225120.0,163296.0
2024.0,61380991.62,92925.0,619500.0,619500.0,619500.0,619500.0,631890.0
2024.0,61379478.66,92925.0,619500.0,619500.0,619500.0,619500.0,631890.0
2024.0,9748288.86,11195.63,105420.0,59464.13,0.0,235085.55,49670.25
2020.0,10225396.27,38720.0,9562.0,37338.0,57326.0,95222.0,78145.0
2020.0,11643725.83,29885.0,46295.0,44635.0,59100.0,105260.0,88950.0
2020.0,17427043.69,76997.63,80388.7,89068.6,32068.51,160699.89,142130.46
2020.0,14286556.91,90518.4,80028.9,109216.8,58393.44,151792.2,303489.9
2020.0,22950890.2,85377.6,132539.4,150929.1,149732.1,300837.6,952276.5
2020.0,23388848.19,85377.6,132539.4,150929.1,149732.1,300837.6,952276.5
2020.0,12120899.92,38720.0,42885.0,37338.0,57326.0,95222.0,78145.0
2020.0,11961936.91,28660.0,44241.0,40829.0,61738.0,98665.0,87474.0
2020.0,18138493.34,53615.0,67632.0,46298.0,102320.0,186520.0,104150.0
2020.0,16204711.8,92908.01,77481.65,81416.46,98945.28,193179.96,139191.14
2020.0,26765713.42,176497.89,106699.3,128831.47,194726.55,380572.22,208055.48
2020.0,12013356.38,87494.4,56856.24,70616.7,94909.5,191377.62,104021.82
2020.0,13552545.56,87494.4,56856.24,70616.7,94909.5,191377.62,104021.82
2019.0,11747123.96,33275.75,45243.16,45641.0,28159.23,179293.08,70603.18
2019.0,9535693.24,33523.87,44594.09,43588.02,64871.56,89217.91,76413.47
2019.0,15860831.98,21289.8,71035.59,42771.4,60026.55,107339.5,74514.3
2019.0,19008987.48,75479.88,128533.86,147270.02,119241.36,253003.8,297167.96
2019.0,13050852.26,75479.88,88328.31,113423.02,46735.08,126452.34,236023.31
2019.0,20674448.34,251143.2,111837.6,150324.3,107548.56,219693.6,1280034.0
2019.0,4790554.26,20915.96,25672.5,37485.0,25410.0,62225.63,514762.5
2019.0,10500982.26,83563.2,60927.3,101833.2,44112.6,118162.8,171097.92
2019.0,10220155.8,92862.0,64449.0,101999.52,45901.8,134379.0,189875.7
2019.0,10528728.45,66729.6,55036.8,94676.4,46831.68,117243.0,484060.5
2019.0,13341965.93,73231.2,91488.6,95780.16,49039.2,134946.0,510766.2
