,,Structural aspect,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 1: 4 STY 8 CL Malolos, Bulacan","2017: 12,723,976.07",quantity ,866.920,49.800,0.000,4.000,76230.150,0.000,8.000,13.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,471.990,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 6: 2 STY 12 CL Trento, Agusan del Sur",2018: 27539557.48,quantity ,1216.000,99.440,0.000,2.000,104807.380,0.000,12.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,639.610,0.000,0.000,0.000,0.000,729.600,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 10: 2 STY 10 CL Sagbayan, Bohol","20//: 20,622,505.73",quantity ,1000.200,50.680,0.000,2.000,64617.580,0.000,10.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,391.950,0.000,0.000,0.000,0.000,2225.340,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 11: 2 STY 2 CL Santa Maria, Bulacan","2024: 9,845,122.86",quantity ,171.000,171.000,0.000,2.000,11851.540,13488.090,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,103.120,0.000,0.000,0.000,0.000,0.000,815.070,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 12: 1 STY 2 CL Caba, La Union","2024: 9,845,122.86",quantity ,197.320,3.600,0.000,1.000,7473.220,0.000,2.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,45.880,0.000,0.000,0.000,0.000,259.920,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 13: 3 STY 15 CL Davao,"2018: 42,652,727.59",quantity ,1966.340,86.940,0.000,3.000,45979.020,83977.630,15.000,21.490,300.310,41.560,127.650,108.630,131.080,0.000,0.000,0.000,0.000,0.000,0.000,27.980,3598.840,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 14: 3 STY 15 CL Dapitan, Zamboanga del Norte","2017: 12,976,092.09",quantity ,1473.360,81.350,0.000,3.000,12706.190,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,186.510,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 15: 1 STY 2 CL Virac, Catamduanes","2017: 2,692,467.18",quantity ,148.980,0.000,0.000,1.000,7843.920,0.000,2.000,0.000,64.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 16: 2 STY 4 CL IGACOS, Davao del Norte","2018: 9,581,051.78",quantity ,437.000,27.000,0.000,2.000,25386.500,0.000,4.000,0.000,61.180,16.490,24.670,38.940,27.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 18: 1 STY 1 CL Tandag City, Surigao del Sur","2018: 3,373,734.87",quantity ,63.000,7.350,0.000,1.000,6119.350,0.000,1.000,0.000,0,0.000,0.000,0.000,0,18.830,0.000,25.820,0.000,0.000,0.000,0.000,117.990,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 19: 4 STY 8 CL Tandag City, Surigao del Sur","2024: 24,603,184.34",quantity ,488.400,52.240,0.000,4.000,82382.290,0.000,8.000,0.000,147.890,0.000,0.000,0.000,0.000,0.000,0.000,275.160,0.000,0.000,0.000,0.000,776.870,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 22: 2 STY 6 CL Misamis Oriental ,"2023: 22,565,635.92",quantity ,622.050,42.710,0.000,2.000,10316.290,33421.560,6.000,0.000,0.000,0.000,0.000,0.000,0.000,35.690,0.000,0.000,190.860,0.000,0.000,0.000,1612.010,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 23: 1 STY 2 CL Misamis Oriental ,"2024: 6,732,123.10",quantity ,207.660,6.620,0.000,1.000,14198.270,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,37.500,0.000,12.040,0.000,21.570,0.000,0.000,577.690,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 26: 1 STY 2 CL Las Navas, Northern Samar","2024: 5,967,992.82",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 27: 4 STY 12 CL Consolacion Cebu,"2024: 24,782,396.29",quantity ,795.150,69.930,0.000,4.000,33238.300,63911.900,12.000,0.000,0.000,0.000,0.000,0.000,0.000,14.560,0.000,0.000,388.910,0.000,0.000,0.000,984.990,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 29: 1 STY 2 CL Canlaon, Negros Oriental W/ CR","2024: 5,456,718.16",quantity ,148.980,-,,1.000,10257.290,,2.000,,-,-,-,-,-,77.120,,,,,,,191.820,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 31: 2 STY 12 CL Magallanes Sorsogon ,"2024: 62,332,762.35",quantity ,1354.460,69.500,0.000,2.000,43640.310,92651.560,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,476.340,0.000,0.000,0.000,1584.860,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 32: 2 STY 12 CL Casiguran Sorsogon ,"2024: 62,172,175.91",quantity ,1354.460,69.500,0.000,2.000,43640.310,92651.560,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,476.340,0.000,0.000,0.000,1584.860,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 33: 2 STY 4 CL Bacacy/Malilipot Albay,"2024: 38,605,670.21",quantity ,200.800,"36,27",0.000,2.000,34939.530,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,179.150,0.000,0.000,0.000,0.000,0.000,0.000,1619.740,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 34: 1 STY 2 CL Dasol Pangasinan,"2024: 5,853,469.15",quantity ,56.200,7.610,0.000,1.000,13892.900,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.540,0.000,0.000,0.000,0.000,0.000,0.000,762.810,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 35: 4 STY 16 CL Dasol Pangasinan,"2024: 47,846,905.84",quantity ,132.700,1826.130,,4.000,62138.840,153080.110,16.000,,-,-,-,-,-,-,-,1144.870,,,,,1716.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 36: 4 STY 12 CL San Nicolas, Ilocos Norte","2024: 39,394,161.38",quantity ,1071.710,756.000,0.000,4.000,31796.420,77846.400,12.000,0.000,0.000,0.000,0.000,0.000,0.000,987.450,0.000,0.000,0.000,0.000,0.000,0.000,606.500,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 37: 2 STY 8 CL Guinobatan, Albay","2024: 35,733,936.48",quantity ,82.260,814.470,0.000,2.000,45142.360,63278.430,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,430.040,132.720,0.000,0.000,2996.120,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 38: 2 STY 6 CL Alangalang Leyte,"2023: 16,377,168.67",quantity ,616.610,22.650,0.000,2.000,15557.860,43850.280,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,249.770,0.000,0.000,0.000,0.000,1280.390,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 39: 1 STY 2 CL Sipalay, Negros Occidental ","2023: 4,992,477.72",quantity ,174.390,6.730,0.000,1.000,13606.340,0.000,2.000,0.000,33.210,9.920,9.190,12.380,15.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,240.720,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,932.19",quantity ,501.900,42.900,0.000,2.000,21392.370,46027.120,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,178.390,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,815.37",quantity ,501.900,42.900,0.000,2.000,21392.370,46027.120,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,178.390,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 41: 2 STY 4 CL Panganiban, Camarines Norte ","2023: 18,426,577.63",quantity ,479.630,24.890,0.000,2.000,33232.850,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,184.020,0.000,0.000,0.000,0.000,0.000,0.000,1174.410,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 14,296,869.78",quantity ,424.170,20.050,0.000,2.000,19926.720,41570.090,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,176.580,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 12,681,800.48",quantity ,424.170,20.050,0.000,2.000,17110.160,36373.830,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,176.580,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 47: 1 STY 2 CL, Palo Leyte","2018: 3,868,683.94",quantity ,188.100,6.500,0.000,1.000,3810.800,7532.380,2.000,0.000,28.300,8.880,9.720,0.000,22.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,338.210,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 49: 1 STY 2 CL Tinglayan, Kalinga","2018: 3,660,269.09",quantity ,148.980,5.740,0.000,1.000,5684.320,0.000,2.000,0.000,25.330,6.300,5.790,0.000,8.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,409.430,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 50: 2 STY 8 CL Iligan City,"2017: 16,092,682.98",quantity ,824.920,0.000,0.000,2.000,54054.730,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,321.840,0.000,0.000,0.000,0.000,725.680,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 51: 2 STY 6 CL Tubod, Lanao del Norte","2017: 11,765,881.04",quantity ,584.990,0.000,0.000,2.000,38371.770,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,218.000,0.000,0.000,0.000,0.000,725.680,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 52: 2 STY 6 CL Baroy, Lanao del Norte","2017: 11,761,387.11",quantity ,584.990,0.000,0.000,2.000,38371.770,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,218.000,0.000,0.000,0.000,0.000,725.680,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 53: 2 STY 6 CL San Juan, Siquijor","2017: 11,996,863.21",quantity ,584.990,20.050,0.000,2.000,36806.730,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,211.410,0.000,0.000,0.000,0.000,1312.790,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 56: 4 STY 8 CL Lipa City, Batangas","2017: 17,061,708",quantity ,851.000,47.000,0.000,4.000,81296.000,0.000,8.000,13.000,182.000,22.000,73.000,91.000,75.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 57: 4 STY 16 CL Mandaue City, Cebu","2017: 26,186,759.94",quantity ,1887.130,69.600,18.200,4.000,144605.020,0.000,16.000,56.700,320.000,47.500,122.500,121.300,125.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1420.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 60: 2 STY 4 CL Vigan Ilocos Sur,"2019: 10,862,688.30",quantity ,191.600,276.170,0.000,2.000,18105.370,24704.700,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,193.980,0.000,0.000,0.000,0.000,1010.340,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",quantity ,2055.640,95.000,0.000,4.000,53844.000,117985.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,912.000,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 64: 3 STY 9 CL San, Joquin, Iloilo","2018: 14,804,621.77",quantity ,320.250,21.750,9.100,3.000,85457.060,0.000,9.000,14.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,544.630,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",quantity ,171.000,6.560,0.000,1.000,8205.820,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,41.000,0.000,24.670,0.000,0.000,0.000,0.000,176.790,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL","2018: 30,144,572.16",quantity ,1248.960,73.840,0.000,3.000,128217.690,0.000,12.000,25.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,632.410,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",quantity ,256.500,12.240,0.000,1.000,21058.750,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,112.910,0.000,0.000,0.000,0.000,801.190,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811",quantity ,625.280,32.220,0.000,3.000,65937.040,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,392.960,0.000,0.000,0.000,0.000,1380.400,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",quantity ,20.000,5454.000,0.000,4.000,44325.000,65277.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,405.000,0.000,0.000,0.000,2417.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",quantity ,608.000,557.970,0.000,2.000,23020.960,25033.280,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,221.710,0.000,0.000,0.000,0.000,0.000,1070.280,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",quantity ,1.000,13.000,0.000,1.000,19104.750,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,118.080,0.000,0.000,0.000,0.000,0.000,0.000,755.940,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",quantity ,706.000,63.000,0.000,4.000,14789.000,28119.500,8.000,0.000,0.000,0.000,58.000,61.000,82.600,0.000,0.000,11.000,0.000,0.000,0.000,0.000,1596.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",quantity ,1302.000,518.560,0.000,4.000,127229.400,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,738.290,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 82: 4 STY 8 CL SAN JOSE DEL MONTE BULACAN,"2024: 21,233,360.79",quantity ,510.600,475.870,0.000,4.000,16048.830,42081.040,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.330,0.000,0.000,0.000,0.000,0.000,1731.490,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",quantity ,63.000,7.350,0.000,1.000,6339.850,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,26.160,0.000,19.630,0.000,0.000,0.000,0.000,119.660,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",quantity ,108.000,26.000,0.000,2.000,13902.000,20287.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,156.000,0.000,0.000,0.000,1405.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 85:  2X4 SAN JOSE BATANGAS,"2024: 24,128,750.00",quantity ,28.000,177.000,0.000,2.000,18710.000,26077.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,131.000,0.000,0.000,0.000,1221.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",quantity ,466.430,13.500,0.000,1.000,26905.190,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,192.190,0.000,0.000,0.000,0.000,0.000,0.000,861.930,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",quantity ,342.000,15.370,0.000,1.000,6429.370,16501.850,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,156.560,0.000,0.000,0.000,0.000,293.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,496.090,22.785,0.000,2.000,56541.290,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,323.495,0.000,0.000,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,496.090,22.785,0.000,2.000,56541.290,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,323.495,0.000,0.000,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",quantity ,387.000,22.020,0.000,2.000,24738.610,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,156.540,0.000,0.000,0.000,0.000,437.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 91: 4x12 Lucena, QUezon Province (has lean concrete)","2018: 34,993,788.33",quantity ,1320.170,97.730,0.000,4.000,115901.560,0.000,12.000,39.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,648.680,0.000,0.000,0.000,0.000,3268.370,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",quantity ,183.590,23.300,252.000,2.000,28757.240,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,171.740,0.000,0.000,0.000,0.000,0.000,0.000,970.770,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",quantity ,132.800,0.000,0.000,2.000,20255.150,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,119.100,0.000,0.000,0.000,0.000,938.770,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
