,,Structural aspect,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",quantity ,1642.800,1409.110,0.000,4.000,26963.790,71659.160,12.000,47.030,0.000,0.000,0.000,0.000,0.000,0.000,607.650,0.000,0.000,0.000,0.000,0.000,2496.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",quantity ,457.460,21.300,0.000,2.000,23933.200,26259.800,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,248.790,0.000,0.000,0.000,0.000,1781.860,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",quantity ,1054.500,66.730,0.000,3.000,38965.070,98121.490,9.000,0.000,42.370,0.000,0.000,0.000,0.000,0.000,0.000,646.940,0.000,0.000,0.000,0.000,2271.010,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",quantity ,440.000,21.800,0.000,2.000,13785.200,24017.400,4.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,0.000,165.000,0.000,0.000,0.000,1600.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 106: 2x6 Nueva Valencia Guimaras,"2023: 18,407,495.54",quantity ,558.000,22.020,0.000,2.000,16893.750,26636.850,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,236.190,0.000,0.000,0.000,0.000,860.440,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 107: 1x4 Bulalcao Orietal mindoro,"2023: 11,370,123.47",quantity ,395.750,51.150,0.000,1.000,26019.400,0.000,4.000,0.000,63.650,17.900,19.100,19.400,33.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,976.800,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 113: 2x6 Castillejos, Zambales","2021: 5,543,607.28",quantity ,63.500,28.170,0.000,2.000,895.400,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,115.710,0.000,0.000,0.000,0.000,23.040,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 116: 2x6 Castillejos, Zambales","2021: 4,010,862.85",quantity ,584.990,50.680,0.000,2.000,36151.940,40178.430,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,444.600,0.000,0.000,0.000,0.000,1317.770,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 117: Basay, Negros Oriental",23310314.040,quantity ,858.730,43.600,0.000,2.000,24955.610,34934.400,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,324.370,0.000,0.000,55.240,2000.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 118: 2x4 SIaton, Negros Oriental",12408080.250,quantity ,415.940,21.800,0.000,2.000,12281.360,21397.320,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,157.280,0.000,0.000,26.900,1500.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 119: 2x4 Dauin, Negros Oriental","2020: 11.842,000.00",quantity ,415.940,21.800,0.000,2.000,12281.360,21397.320,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,157.280,0.000,0.000,26.900,1500.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 120:  4x20 Binalonan, Pangasinan","2020: 52,921,088.86",quantity ,771.150,1312.890,0.000,4.000,65943.700,138860.850,20.000,23.740,56.710,968.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5302.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 121: 4x20 Tobias Fornier, Antique","2020: 46,778,280.56",quantity ,2055.640,95.000,0.000,4.000,53844.000,117985.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,912.000,0.000,0.000,0.000,0.000,1.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 122: 4x8 San Pedro Laguna,"2024: 38,606,000.00",quantity ,2949.440,54.000,0.000,4.000,44325.000,72882.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,405.000,0.000,0.000,0.000,2417.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 123: 2x4 Roxas City, Capiz","2024: 15,435,664.91",quantity ,443.640,53.800,0.000,2.000,20512.870,20740.830,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,208.550,0.000,0.000,0.000,0.000,1489.800,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 124: 3x6 Malolos Bulacan,"2024: 28,962,172.55",quantity ,426.800,18.000,0.000,3.000,55255.350,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,288.970,0.000,0.000,0.000,0.000,0.000,0.000,1966.610,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 125: 2x4 Ma-ayon, Capiz","2024: 14,859,476.05",quantity ,443.640,53.800,0.000,2.000,21336.210,21092.210,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,206.080,0.000,0.000,0.000,0.000,1324.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 126: 2x4 Ma-ayon, Capiz","2024: 15,500,399.65",quantity ,443.640,53.800,0.000,2.000,21989.420,21092.210,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,206.080,0.000,0.000,0.000,0.000,1470.900,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 127: 1x2 Milagros, Masbate","2024: 5,850,335.9",quantity ,164.220,0.000,0.000,1.000,13972.760,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,88.770,0.000,0.000,0.000,0.000,0.000,0.000,545.920,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 128: 1x5 Santa Ignacia, Tarlac","2024: 18,740,697.35",quantity ,471.710,19.960,0.000,1.000,25808.320,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263.550,0.000,0.000,0.000,0.000,2305.670,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 129: 1x3 Pura Tarlac,"2024: 10,979,055.79",quantity ,289.610,10.710,0.000,1.000,17141.240,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,154.470,0.000,0.000,0.000,0.000,1033.240,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 130: 2x10 Jordan, Guimaras","2024: 39,696,137.55",quantity ,992.380,64.500,0.000,2.000,17361.000,60731.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,418.080,0.000,0.000,0.000,0.000,0.000,0.000,2283.930,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 131: 4x8 Quiot Pardo Cebu,"2024: 39,759,647.00",quantity ,893.000,95.000,0.000,4.000,66868.000,69703.000,8.000,4.000,160.000,55.000,118.000,96.000,147.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2372.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 136: 2x4 Pilar Bataan,"2024: 14,604,194.55",quantity ,471.000,30.000,0.000,2.000,17994.000,30384.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,239.000,0.000,0.000,0.000,0.000,1533.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 138: 2x4 Ajuy, Iloilo","2024: 15,514,088.25",quantity ,433.070,24.430,0.000,2.000,16253.540,22938.390,4.000,0.000,0.000,0.000,0.000,0.000,0.000,128.150,0.000,74.280,0.000,0.000,0.000,0.000,1138.880,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 139: 2x4 Buenavista, Guimaras","2024: 15,514,440.95",quantity ,411.440,31.500,0.000,2.000,8996.000,26458.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,178.620,0.000,0.000,0.000,0.000,842.790,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 140: 1x3 Barobo, Surigao Del sur","2024: 9,611,535.48",quantity ,276.220,11.270,0.000,1.000,7570.040,9326.680,3.000,0.000,0.000,0.000,0.000,0.000,0.000,133.780,0.000,0.000,0.000,0.000,0.000,0.000,572.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 141: 1x3 Barobo, Surigao Del sur","2024: 9,651,558.77",quantity ,276.220,11.270,0.000,1.000,7573.220,9326.680,3.000,0.000,0.000,0.000,0.000,0.000,0.000,133.780,0.000,0.000,0.000,0.000,0.000,0.000,572.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 142: 1x3 Barobo, Surigao Del sur","2024: 9,687,517.65",quantity ,276.220,11.270,0.000,1.000,7581.800,9326.680,3.000,0.000,0.000,0.000,0.000,0.000,0.000,133.780,0.000,0.000,0.000,0.000,0.000,0.000,572.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 143: 1x3 Barobo, Surigao Del sur","2024: 9,718,956.84",quantity ,276.220,11.270,0.000,1.000,7573.220,9326.680,3.000,0.000,0.000,0.000,0.000,0.000,0.000,133.780,0.000,0.000,0.000,0.000,0.000,0.000,572.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 144: 1x3 Barobo, Surigao Del sur","2024: 9,930,171.7",quantity ,276.220,11.270,0.000,1.000,7570.000,9326.680,3.000,0.000,0.000,0.000,0.000,0.000,0.000,133.780,0.000,0.000,0.000,0.000,0.000,0.000,572.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 145: 1x2 Pontevedra, Negros Occidnetal","2024: 4,915,295.55",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 146: 1x2 La Corlota, Negros Occidnetal","2024: 4,925,053.59",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 147: 1x2 Valladolid, Negros Occidental","2024: 4,948,168.58",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 148: San Enrique Negros Occidental,"2024: 4,947,465.01",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 149: LA Carlota Negros Occidental,"2024: 4,960,678.36",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 150:1x2  BAgo CityNegros Occidental,"2024: 4,949,269.88",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 151:1x2 Bago City Negros Occidental,"2024: 4,925,053.59",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 152:1x2 Pulupandan Negros Occidental,"2024: 4,942,656.33",quantity ,179.000,7.610,0.000,1.000,10253.830,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,82.120,0.000,0.000,0.000,0.000,0.000,0.000,335.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 153: 3x6 San Mateo Rizal,"2023: 24,959,293.13",quantity ,676.820,35.250,0.000,3.000,40348.190,45890.480,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,326.820,0.000,0.000,0.000,0.000,2237.780,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 154: 3x9 Baler, Aurora","2023: 29,456,364.98",quantity ,1054.500,66.730,0.000,3.000,37527.330,98121.490,9.000,0.000,42.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,646.940,0.000,0.000,0.000,2271.010,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 155: 1x4 DIlasag, Aurora","2023: 9,728,874.27",quantity ,351.000,15.030,0.000,1.000,18877.610,0.000,4.000,0.000,64.670,19.350,18.120,17.090,34.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,962.100,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 156: 1x4 Dipaculao, Aurora","2023: 9,809,368.69",quantity ,351.000,15.030,0.000,1.000,18987.560,0.000,4.000,0.000,66.290,19.350,18.710,17.090,34.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,969.780,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 157: 2x4 San Lorenzo Guimaras,"2024: 15,600,784.32",quantity ,411.400,31.500,0.000,2.000,9095.000,26458.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,180.080,0.000,0.000,0.000,0.000,0.000,0.000,818.090,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 158: 2x4 Surigao City Surigao del norte,"2024: 21,200,658.33",quantity ,127.130,30.540,0.000,2.000,13315.740,39809.500,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,248.660,0.000,0.000,0.000,483.100,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 159: 2x12 Donsol, Sorsogon","2024: 61,380,991.62",quantity ,1354.460,69.500,0.000,2.000,43640.310,92651.560,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,476.340,0.000,0.000,0.000,1584.860,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 160: 2x12 Donsol, Sorsogon","2024: 61,379,478.66",quantity ,1354.460,69.500,0.000,2.000,43640.310,92651.560,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,476.340,0.000,0.000,0.000,1584.860,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 161: 1x3 Hinatuan, Surigao Del Sur","2024: 9,748,288.86",quantity ,87.220,200.270,0.000,1.000,7604.640,9516.160,3.000,0.000,0.000,0.000,0.000,0.000,0.000,133.510,0.000,0.000,0.000,0.000,0.000,0.000,572.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 162: 2x4 San Fernando, La Union","2020: 10,225,396.27",quantity ,424.170,20.050,0.000,2.000,13839.490,29116.530,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.850,185.660,0.000,1129.360,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 163: 2x4 Santol, La Union","2020: 11,643,725.83",quantity ,424.180,20.050,0.000,2.000,13839.490,29116.530,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,185.660,21.850,1129.360,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 164: 2x4 Calumpit, Bulacan","2020: 17,427,043.69",quantity ,487.310,32.750,0.000,2.000,40602.860,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,356.230,0.000,0.000,0.000,0.000,1903.570,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 165: 2x6 Concepcion, Tarlac","2020: 14,286,556.91",quantity ,617.530,25.010,0.000,2.000,22144.170,31382.570,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,247.140,0.000,0.000,0.000,0.000,707.390,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 166: 2x10 Concepcion, Tarlac","2020: 22,950,890.2",quantity ,1064.060,55.940,0.000,2.000,34714.810,48549.160,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,403.630,0.000,0.000,0.000,0.000,1212.950,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 167: 2x10 Concepcion, Tarlac","2020: 23,388,848.19",quantity ,1064.060,55.940,0.000,2.000,35673.110,48549.160,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416.880,0.000,0.000,0.000,0.000,1212.950,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 168: 2x4 Balaoan, La Union","2020: 12,120,899.92",quantity ,424.170,20.050,0.000,2.000,13839.490,32919.100,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,190.130,21.850,1179.260,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 169: 2x4 San Gabriel, La Union","2020: 11,961,936.91",quantity ,424.170,20.050,0.000,2.000,13839.490,29116.530,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,185.660,21.850,1129.360,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 170: 2x6 Sudipen, La Union","2020: 18,138,493.34",quantity ,190.620,416.380,0.000,2.000,14362.580,45213.950,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,249.930,30.400,1546.350,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 171: 2x6 Alcala, Pangasinan","2020: 16,204,711.8",quantity ,231.520,388.670,0.000,2.000,16581.370,28624.290,6.000,0.000,33.780,0.000,200.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1289.330,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 172: 2x4 Santo Tomas, Pangasinan","2020: 26,765,713.42",quantity ,247.400,661.750,0.000,2.000,25466.380,42578.060,4.000,0.000,48.690,0.000,305.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1898.020,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 173: 2x4 Villasis, Pangasinan","2020: 12,013,356.38",quantity ,195.810,267.430,0.000,2.000,13200.330,21289.030,4.000,0.000,25.210,0.000,164.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,990.630,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 174: 2x4 San Quintin, Pangasinan","2020: 13,552,545.56",quantity ,430.720,24.940,0.000,2.000,12751.700,21289.030,4.000,0.000,24.450,0.000,156.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,952.060,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 175: 2x4 Olongapo City,"2019: 11,747,123.96",quantity ,"424,.7",42.640,0.000,2.000,0.000,32186.240,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,199.200,0.000,0.000,0.000,0.000,1849.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 176: 2x4 Santol, La Union","2019: 9,535,693.24",quantity ,424.170,0.000,0.000,2.000,14543.760,34471.230,4.000,0.000,27.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,180.930,0.000,0.000,0.000,960.520,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 177: 2x6 Tulong, Negros oriental","2019: 15,860,831.98",quantity ,605.360,21.120,0.000,2.000,19710.400,30702.400,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,227.960,0.000,0.000,38.340,1500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 178: 2x8 Capas, Tarlac","2019: 19,008,987.48",quantity ,893.060,52.980,0.000,2.000,30396.270,44571.170,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,355.710,0.000,0.000,0.000,0.000,1020.670,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 179: 2x6 Capas Tarlac,"2019: 13,050,852.26",quantity ,617.530,25.010,0.000,2.000,21514.870,29613.960,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,239.910,0.000,0.000,0.000,0.000,707.390,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 180: 2x8 Bamban, Tarlac","2019: 20,674,448.34",quantity ,893.060,52.980,0.000,2.000,30396.270,44571.170,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,355.710,0.000,0.000,0.000,0.000,1020.670,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 181: 1x2 Concepcion, Tarlac","2019: 4,790,554.26",quantity ,171.000,6.480,0.000,1.000,14640.840,0.000,2.000,0.000,42.640,9.390,8.800,0.000,17.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,214.200,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 182: 2x4 Bamban, Tarlac","2019: 10,500,982.26",quantity ,446.530,25.010,0.000,2.000,16699.960,22765.260,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182.080,0.000,0.000,0.000,0.000,515.110,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 183: 2x4 Capas, tarlac","2019: 10,220,155.8",quantity ,446.530,25.010,0.000,2.000,16699.960,22765.260,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182.080,0.000,0.000,0.000,0.000,515.110,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 184: 2x4 Concepcion, Tarlac","2019: 10,528,728.45",quantity ,446.530,25.010,0.000,2.000,16699.960,22765.260,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,182.080,0.000,0.000,0.000,0.000,515.110,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 185: 2x6 Concepcion, Tarlac","2019: 13,341,965.93",quantity ,617.530,25.010,0.000,2.000,21514.870,29613.960,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,239.910,0.000,0.000,0.000,0.000,707.390,,,,,,,,,,,,,,,,,,,,,,,,,,,
